cdate,working_code_l1,working_code_l2,working_code_l3,name,workers,total_hour
2022-06-20,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,2.8
2022-06-20,INBOUND,PUTAWAY,SHELF,上架基架,13,9.9
2022-06-20,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,5,7.4
2022-06-20,INBOUND,QC,QC,品管,5,8.8
2022-06-20,INBOUND,RECEIVED,BULKY,箱賣,2,0.4
2022-06-20,INBOUND,RECEIVED,CONTROL,貴重驗收,1,0.2
2022-06-20,INBOUND,RECEIVED,SMALL,小驗,7,17.5
2022-06-21,INBOUND,ARRIVAL,ARRIVAL,收貨,1,2.9
2022-06-21,INBOUND,ARRIVAL,DOCK,碼頭收發,2,3.2
2022-06-21,INBOUND,COUNTING,COUNTING,進貨計數,10,24.3
2022-06-21,INBOUND,LABELING,LABELING,貼標,13,22.7
2022-06-21,INBOUND,LABELING,PRINT,印標,1,5.1
2022-06-21,INBOUND,MGMT,CONTROL,進貨控場,2,16.6
2022-06-21,INBOUND,OTHERS,ABNORMAL,進貨異常,2,15.1
2022-06-21,INBOUND,OTHERS,FIVES,進貨5S,15,21.1
2022-06-21,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,2.3
2022-06-21,INBOUND,PUTAWAY,SHELF,上架基架,7,10.2
2022-06-21,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,4,9.2
2022-06-21,INBOUND,QC,QC,品管,4,7.0
2022-06-21,INBOUND,RECEIVED,BULKY,箱賣,1,0.3
2022-06-21,INBOUND,RECEIVED,CONTROL,貴重驗收,2,3.1
2022-06-21,INBOUND,RECEIVED,SMALL,小驗,8,17.3
2022-06-22,INBOUND,ARRIVAL,ARRIVAL,收貨,1,3.4
2022-06-22,INBOUND,ARRIVAL,DOCK,碼頭收發,2,3.6
2022-06-22,INBOUND,COUNTING,COUNTING,進貨計數,9,15.7
2022-06-22,INBOUND,LABELING,LABELING,貼標,9,18.8
2022-06-22,INBOUND,LABELING,PRINT,印標,1,4.8
2022-06-22,INBOUND,MGMT,CONTROL,進貨控場,3,23.4
2022-06-22,INBOUND,OTHERS,ABNORMAL,進貨異常,2,15.0
2022-06-22,INBOUND,OTHERS,FIVES,進貨5S,9,13.8
2022-06-22,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,2.5
2022-06-22,INBOUND,PUTAWAY,SHELF,上架基架,7,12.3
2022-06-22,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,2,1.8
2022-06-22,INBOUND,QC,QC,品管,1,5.5
2022-06-22,INBOUND,RECEIVED,CONTROL,貴重驗收,2,2.3
2022-06-22,INBOUND,RECEIVED,SMALL,小驗,7,17.2
2022-06-23,INBOUND,ARRIVAL,ARRIVAL,收貨,2,7.0
2022-06-23,INBOUND,ARRIVAL,DOCK,碼頭收發,2,5.4
2022-06-23,INBOUND,COUNTING,COUNTING,進貨計數,7,13.1
2022-06-23,INBOUND,LABELING,LABELING,貼標,6,15.1
2022-06-23,INBOUND,LABELING,PRINT,印標,1,4.0
2022-06-23,INBOUND,MGMT,CONTROL,進貨控場,2,16.8
2022-06-23,INBOUND,OTHERS,ABNORMAL,進貨異常,3,18.7
2022-06-23,INBOUND,OTHERS,FIVES,進貨5S,13,14.3
2022-06-23,INBOUND,OTHERS,SECONDPROCESS,加工,1,2.9
2022-06-23,INBOUND,PUTAWAY,SHELF,上架基架,8,10.5
2022-06-23,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,4,4.4
2022-06-23,INBOUND,QC,QC,品管,2,5.8
2022-06-23,INBOUND,RECEIVED,BULKY,箱賣,1,0.1
2022-06-23,INBOUND,RECEIVED,CONTROL,貴重驗收,2,7.0
2022-06-23,INBOUND,RECEIVED,SMALL,小驗,6,16.3
2022-06-24,INBOUND,ARRIVAL,ARRIVAL,收貨,2,6.0
2022-06-24,INBOUND,ARRIVAL,DOCK,碼頭收發,3,7.3
2022-06-24,INBOUND,COUNTING,COUNTING,進貨計數,15,26.8
2022-06-24,INBOUND,LABELING,LABELING,貼標,13,29.9
2022-06-24,INBOUND,LABELING,PRINT,印標,2,4.9
2022-06-24,INBOUND,MGMT,CONTROL,進貨控場,2,14.0
2022-06-24,INBOUND,OTHERS,ABNORMAL,進貨異常,2,14.9
2022-06-24,INBOUND,OTHERS,FIVES,進貨5S,20,24.9
2022-06-24,INBOUND,OTHERS,SECONDPROCESS,加工,1,3.3
2022-06-24,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,2.3
2022-06-24,INBOUND,PUTAWAY,SHELF,上架基架,7,8.1
2022-06-24,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,4,7.9
2022-06-24,INBOUND,QC,QC,品管,3,7.2
2022-06-24,INBOUND,RECEIVED,BULKY,箱賣,1,2.5
2022-06-24,INBOUND,RECEIVED,CONTROL,貴重驗收,2,8.8
2022-06-24,INBOUND,RECEIVED,SMALL,小驗,8,22.8
2022-06-25,INBOUND,ARRIVAL,ARRIVAL,收貨,2,4.4
2022-06-25,INBOUND,ARRIVAL,DOCK,碼頭收發,3,5.2
2022-06-25,INBOUND,COUNTING,COUNTING,進貨計數,7,10.7
2022-06-25,INBOUND,LABELING,LABELING,貼標,7,13.6
